OBJECTID,EASTING,NORTHING
1211,544466,184689
1212,544240,184632
1213,544240,184632
1214,544384,184665
1215,544384,184665
1216,544384,184665
1217,544200,184828
1218,544384,184665
1219,544487,184758
1220,544466,184689
1221,544466,184689
1222,545040,184065
1223,545321,183786
1224,545321,183786
1225,545321,183786
1226,545321,183786
1227,545321,183786
1228,544905,183999
1229,545321,183786
1230,545321,183786
1231,545321,183786
1232,545321,183786
1233,545120,184049
1234,545321,183786
1235,545321,183786
1236,545321,183786
1237,545321,183786
1238,545321,183786
1239,545321,183786
1240,544981,184032
1241,545015,184102
1242,544905,183999
1243,544905,183999
1244,545321,183786
1245,544905,183999
1246,545217,183862
1247,544905,183999
1248,545040,184065
1249,545321,183786
1250,545120,184049
1251,545015,184102
1252,545321,183786
1253,545321,183786
1254,544934,184669
1255,544613,185098
1256,545161,184426
1257,545276,184320
1258,544934,184669
1259,544934,184669
1260,544934,184669
1261,544880,184620
1262,544613,185098
1263,545173,184657
1264,545124,184601
1265,544934,184669
1266,546815,184297
1267,546963,184110
1268,546761,184136
1269,546815,184297
1270,546962,184320
1271,546720,184089
1272,546761,184136
1273,546131,184186
1274,546131,184186
1275,546131,184186
1276,546434,184180
1277,546131,184186
1278,545821,184189
1279,545978,184154
1280,545978,184154
1281,546376,184253
1282,546231,184175
1283,546000,184017
1284,546000,184017
1285,546376,184253
1286,546434,184180
1287,546000,184017
1288,546000,184017
1289,546434,184180
1290,545944,184123
1291,545821,184189
1292,545944,184123
1293,545944,184123
1294,545944,184123
1295,545944,184123
1296,546103,183595
1297,546103,183595
1298,546103,183595
1299,546899,183903
1300,546103,183595
1301,546103,183595
1302,546103,183595
1303,546635,183759
1304,546635,183759
1305,546635,183759
1306,546542,183667
1307,546649,183841
1308,546542,183667
1309,546807,184091
1310,546565,184018
1311,546807,184091
1312,546243,183667
1313,546506,183891
1314,546074,183780
1315,546807,184091
1316,546103,183595
1317,546243,183667
1318,546664,183951
1319,546542,183667
1320,546807,184091
1321,546074,183780
1322,546903,184049
1323,546074,183780
1324,546243,183667
1325,547149,184226
1326,547208,183952
1327,547120,184308
1328,547208,183952
1329,547040,183868
1330,546670,184593
1331,546633,185026
1332,546717,184433
1333,546633,185026
1334,546702,185130
1335,546702,185130
1336,546787,184586
1337,546907,184528
1338,546633,185026
1339,546633,185026
1340,546633,185026
1341,546670,184593
1342,546670,184593
1343,546702,185130
1344,546633,185026
